Name;Author;Date;Rating Value;Rating Count;Preparation Time;Cooking Time;Category;Cuisine;Ingredients;Ingredients_Raw;Instructions;Cooking Methods;Implements;Number of steps;Servings;Nutrition;URL
Bay Scallop Pasta with Tomatoes;lutzflcat;27/03/2025;;;10.0;25.0;['Dinner'];['American'];[{'ingredient': 'linguine pasta', 'quantity': '1', 'unit': 'pound', 'misc': ''}, {'ingredient': 'olive oil', 'quantity': '3', 'unit': 'tablespoons', 'misc': 'divided'}, {'ingredient': 'grape tomatoes', 'quantity': '1', 'unit': 'pound', 'misc': ''}, {'ingredient': 'white wine', 'quantity': '0.33', 'unit': 'cup', 'misc': 'dry'}, {'ingredient': 'kalamata olives', 'quantity': '0.25', 'unit': 'cup', 'misc': 'sliced pitted'}, {'ingredient': 'red pepper flakes', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': 'crushed'}, {'ingredient': 'and black pepper to taste', 'quantity': '', 'unit': 'salt', 'misc': 'freshly ground'}, {'ingredient': 'bay scallops', 'quantity': '1', 'unit': 'pound', 'misc': 'rinsed and patted dry'}, {'ingredient': 'garlic', 'quantity': '3', 'unit': 'cloves', 'misc': 'minced'}, {'ingredient': 'flat-leaf parsley', 'quantity': '1', 'unit': 'tablespoon', 'misc': 'chopped fresh'}];['1 pound linguine pasta', '3 tablespoons olive oil, divided', '1 pound grape tomatoes', '0.33 cup dry white wine', '0.25 cup sliced pitted Kalamata olives', '0.25 teaspoon crushed red pepper flakes', 'salt and freshly ground black pepper to taste', '1 pound bay scallops, rinsed and patted dry', '3 cloves garlic, minced', '1 tablespoon chopped fresh flat-leaf parsley'];"['Bring a large pot of salted water to a boil. Add linguine and cook, stirring occasionally, until tender yet firm to the bite, 9 to 10 minutes, or according to package instructions. Drain pasta, reserving 1/4 cup pasta water, and set aside.', 'Wipe out the pot, and heat 2 tablespoons olive oil over medium heat. Add tomatoes, stirring occasionally, and cook until they start to burst, 5 to 7 minutes  crush some with the back of a spoon. Stir in white wine, olives, red pepper flakes, salt, and pepper  reduce heat and simmer for 2 to 3 minutes.', ""Heat the remaining 1 tablespoon of olive oil in a large skillet over medium-high heat. Add scallops all at once, coating with oil  don't move or shake the pan for 1 minute. Gently flip the scallops, and cook until firm and opaque, 1 to 2 minutes more. Add garlic to the skillet and cook until fragrant, about 30 seconds. Do not overcook scallops."", 'Add the pasta to the tomato mixture, toss to coat, and add reserved pasta water, if necessary. Divide the pasta mixture evenly among 4 shallow bowls and top with the scallops. Lightly drizzle with more olive oil, if desired, garnish with parsley, and serve.']";['boil', 'simmer', 'reduce'];['pan', 'skillet', 'pot'];4.0;4;{'Calories': '664 kcal', 'Carbohydrates': '93 g', 'Cholesterol': '38 mg', 'Fiber': '5 g', 'Protein': '35 g', 'Saturated Fat': '2 g', 'Sodium': '339 mg', 'Sugar': '', 'Fat': '16 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/8408194/bay-scallop-pasta-with-tomatoes/
Cinco de Mayo Fresh Cheese Dip;Sarah Gilmore de Ruiter;27/03/2025;4.5;2.0;15.0;0.0;['Appetizer'];['U.S.', 'Tex-Mex'];[{'ingredient': 'curd cottage cheese', 'quantity': '2', 'unit': '', 'misc': '16 ounce small'}, {'ingredient': 'sour cream', 'quantity': '1', 'unit': 'container', 'misc': '16 ounce'}, {'ingredient': 'pepper jack cheese', 'quantity': '2', 'unit': '', 'misc': '8 ounce shredded'}, {'ingredient': 'scallions', 'quantity': '2', 'unit': 'bunches', 'misc': 'chopped'}, {'ingredient': 'cilantro', 'quantity': '0.5', 'unit': 'cup', 'misc': 'chopped'}, {'ingredient': 'worcestershire sauce', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'garlic', 'quantity': '3', 'unit': 'cloves', 'misc': 'minced'}, {'ingredient': 'cumin', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'ground'}, {'ingredient': 'salt', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'black pepper to taste', 'quantity': '', 'unit': 'freshly', 'misc': 'ground'}];['2 (16 ounce) packages small curd cottage cheese', '1 (16 ounce) container sour cream', '2 (8 ounce) packages shredded pepper Jack cheese', '2 bunches scallions, chopped', '0.5 cup chopped cilantro', '2 tablespoons Worcestershire sauce', '3 cloves garlic, minced', '2 teaspoons ground cumin', '1 teaspoon salt', 'freshly ground black pepper to taste'];['Combine cottage cheese, sour cream, pepper Jack cheese, scallions, cilantro, Worcestershire sauce, garlic, cumin, salt, and pepper in a large bowl. Refrigerate for 2 hours to allow flavors to develop.'];[];[];1.0;['12', '12 servings'];{'Calories': '324 kcal', 'Carbohydrates': '9 g', 'Cholesterol': '68 mg', 'Fiber': '1 g', 'Protein': '20 g', 'Saturated Fat': '14 g', 'Sodium': '781 mg', 'Sugar': '2 g', 'Fat': '24 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/264226/cinco-de-mayo-fresh-cheese-dip/
Vegetarian Beef Shepherd's Pie;Katzen;27/03/2025;4.7;6.0;20.0;55.0;['Dinner'];['British'];[{'ingredient': 'potatoes', 'quantity': '4', 'unit': 'large', 'misc': 'peeled and cut into large chunks'}, {'ingredient': 'garlic', 'quantity': '4', 'unit': 'cloves', 'misc': 'peeled'}, {'ingredient': 'cheddar cheese', 'quantity': '1', 'unit': 'cup', 'misc': 'shredded'}, {'ingredient': 'and black pepper to taste', 'quantity': '', 'unit': 'salt', 'misc': 'ground'}, {'ingredient': 'canola oil', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'onions', 'quantity': '2', 'unit': 'small', 'misc': 'chopped'}, {'ingredient': 'vegetarian beef crumbles', 'quantity': '1', 'unit': 'pound', 'misc': 'such as boca®'}, {'ingredient': 'mushrooms', 'quantity': '1', 'unit': '', 'misc': 'drained 10 ounce sliced'}, {'ingredient': 'frozen peas', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'vegetarian worcestershire sauce', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'creamed corn', 'quantity': '1', 'unit': '', 'misc': '15 ounce'}, {'ingredient': 'paprika', 'quantity': '1', 'unit': 'pinch', 'misc': ''}];['4 large potatoes, peeled and cut into large chunks', '4 cloves garlic, peeled', '1 cup shredded Cheddar cheese', 'salt and ground black pepper to taste', '1 tablespoon canola oil', '2 small onions, chopped', '1 pound vegetarian beef crumbles (such as Boca®)', '1 (10 ounce) can sliced mushrooms, drained', '1 cup frozen peas', '2 tablespoons vegetarian Worcestershire sauce', '1 (15 ounce) can creamed corn', '1 pinch paprika'];['Preheat oven to 375 degrees F (190 degrees C).', 'Place potato chunks and garlic cloves in a large pot and cover with salted water  bring to a boil. Reduce heat to medium-low and simmer until tender, 10 to 15 minutes. Drain. Mash using a potato masher. Stir in Cheddar cheese, salt, and pepper until evenly mixed.', 'Heat oil in a large skillet over medium heat. Add onions  cook and stir until tender, about 5 minutes. Stir in vegetarian beef crumbles, mushrooms, and peas  cook until heated through, about 5 minutes. Stir in Worcestershire sauce and pepper.', 'Pour onion and beef crumble mixture into a deep 9-inch casserole. Spread creamed corn on top. Spread mashed potato mixture carefully over the creamed corn. Sprinkle paprika over mashed potatoes.', 'Bake in the preheated oven until bubbling around the sides and hot in the center, 30 to 40 minutes.'];['bake', 'boil', 'simmer', 'reduce'];['skillet', 'oven', 'pot'];5.0;['6', '6 servings'];{'Calories': '502 kcal', 'Carbohydrates': '73 g', 'Cholesterol': '20 mg', 'Fiber': '12 g', 'Protein': '27 g', 'Saturated Fat': '4 g', 'Sodium': '961 mg', 'Sugar': '10 g', 'Fat': '13 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/257293/vegetarian-beef-shepherds-pie/
Super Lemon Ice Cream;AOSWALT;27/03/2025;4.8;131.0;15.0;20.0;['Dessert'];['American'];[{'ingredient': 'heavy whipping cream', 'quantity': '2', 'unit': 'cups', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '1.125', 'unit': 'cups', 'misc': ''}, {'ingredient': 'half-and-half cream', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'lemon zest', 'quantity': '3', 'unit': 'tablespoons', 'misc': 'grated'}, {'ingredient': 'egg yolks', 'quantity': '5', 'unit': 'large', 'misc': ''}, {'ingredient': 'lemon juice', 'quantity': '0.75', 'unit': 'cup', 'misc': 'fresh'}];['2 cups heavy whipping cream', '1.125 cups white sugar', '1 cup half-and-half cream', '3 tablespoons grated lemon zest', '5 large egg yolks', '0.75 cup fresh lemon juice'];"['Gather all ingredients.', 'Combine heavy cream, sugar, half-and-half, and lemon zest in a saucepan  bring to a simmer over low heat. Cook and stir until sugar is dissolved, about 5 minutes. Remove from heat, cover the saucepan, and allow to steep for 10 minutes.', 'Uncover the saucepan and bring back to a simmer over low heat. Beat egg yolks in a medium bowl. Gradually whisk 1 cup hot cream mixture into eggs, several tablespoons at a time. (This brings eggs up to temperature without scrambling them.)', 'Stir egg mixture back into cream mixture in the saucepan.', 'Cook and stir over low heat until mixture coats the back of a spoon, 5 to 10 minutes. Transfer to a large bowl  cover and refrigerate 8 hours to overnight.', ""Stir lemon juice into chilled ice cream mixture. Freeze in a 4- to 5-quart ice cream maker according to manufacturer's directions."", 'Transfer ice cream to a lidded freezer container, then freeze for about 4 hours to ripen flavors before serving.']";['simmer'];['whisk', 'saucepan'];7.0;10;{'Calories': '315 kcal', 'Carbohydrates': '27 g', 'Cholesterol': '177 mg', 'Fiber': '0 g', 'Protein': '3 g', 'Saturated Fat': '14 g', 'Sodium': '32 mg', 'Sugar': '23 g', 'Fat': '23 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/218156/super-lemon-ice-cream/
Fried Jackfruit with Chocolate Sauce;Shuk22;27/03/2025;4.5;2.0;15.0;15.0;['Dessert'];['Asian'];[{'ingredient': 'water', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '1', 'unit': 'cup', 'misc': ''}, {'ingredient': 'white sugar', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'turmeric', 'quantity': '1', 'unit': 'teaspoon', 'misc': 'ground'}, {'ingredient': 'salt', 'quantity': '1', 'unit': 'pinch', 'misc': ''}, {'ingredient': 'for frying', 'quantity': '', 'unit': 'oil', 'misc': ''}, {'ingredient': 'jackfruit', 'quantity': '6', 'unit': 'pods', 'misc': 'seeded'}, {'ingredient': 'milk', 'quantity': '2', 'unit': 'cups', 'misc': ''}, {'ingredient': 'chocolate', 'quantity': '4', 'unit': 'squares', 'misc': '1 ounce'}, {'ingredient': 'white sugar', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}];['1 cup water', '1 cup all-purpose flour', '1 teaspoon white sugar', '1 teaspoon ground turmeric', '1 pinch salt', 'oil for frying', '6 pods jackfruit, seeded', '2 cups milk', '4 (1 ounce) squares chocolate', '1 tablespoon white sugar'];['Mix water, flour, 1 teaspoon sugar, turmeric, and salt together in a bowl into a thick batter.', 'Heat oil in a large saucepan or fryer. Dip jackfruit into the batter and deep-fry until golden brown, 2 to 4 minutes.', 'Bring milk to a boil in a small pot  boil for 2 minutes. Add chocolate  stir until melted and smooth. Add 1 tablespoon sugar  stir until dissolved, about 1 minute. Simmer chocolate sauce over low heat, about 5 minutes.', 'Place fried jackfruit on a serving plate. Pour chocolate sauce on top.'];['boil', 'simmer', 'fry'];['saucepan', 'pot'];4.0;['6', '6 servings'];{'Calories': '429 kcal', 'Carbohydrates': '48 g', 'Cholesterol': '7 mg', 'Fiber': '5 g', 'Protein': '9 g', 'Saturated Fat': '9 g', 'Sodium': '68 mg', 'Sugar': '7 g', 'Fat': '27 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/246925/fried-jackfruit-with-chocolate-sauce/
Simple Quiche Lorraine;Lynn;27/03/2025;4.8;258.0;20.0;50.0;['Brunch'];['French'];[{'ingredient': 'pie pastry', 'quantity': '1', 'unit': 'refrigerated', 'misc': '9 inch'}, {'ingredient': 'bacon', 'quantity': '6', 'unit': 'slices', 'misc': ''}, {'ingredient': 'onion', 'quantity': '1', 'unit': 'medium', 'misc': 'sliced'}, {'ingredient': 'swiss cheese', 'quantity': '1.5', 'unit': 'cups', 'misc': 'shredded'}, {'ingredient': 'all-purpose flour', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'milk', 'quantity': '1.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'eggs', 'quantity': '3', 'unit': 'large', 'misc': 'beaten'}, {'ingredient': 'salt', 'quantity': '0.25', 'unit': 'teaspoon', 'misc': ''}];['1 (9 inch) refrigerated pie pastry', '6 slices bacon', '1 medium onion, sliced', '1.5 cups shredded Swiss cheese', '1 tablespoon all-purpose flour', '1.5 cups milk', '3 large eggs, beaten', '0.25 teaspoon salt'];['Gather all ingredients. Preheat the oven to 450 degrees F (230 degrees C).', 'Place pie pastry into a 9-inch pie pan  line with a double layer of aluminum foil and a layer of pie weights or dried beans.', 'Bake in the preheated oven until golden on the edges, about 8 minutes. Carefully remove the foil and weights  continue baking until crust is set and dry, about 5 minutes more. Remove from the oven and reduce the temperature to 325 degrees F (165 degrees C).', 'While the crust is baking, cook bacon in a large skillet over medium-high heat until crisp, about 10 minutes. Transfer to a paper towel-lined plate and crumble when cool enough to handle. Drain all but 2 tablespoons drippings from the skillet.', 'Add onion to drippings in the skillet  cook and stir over medium heat until tender, about 5 minutes. Use a slotted spoon and transfer to a bowl.', 'Toss Swiss cheese and flour together in a small bowl. Whisk milk, eggs, and salt together in a large bowl, then stir in bacon and onion.', 'Mix in cheese mixture until well combined, then pour into pie crust.', 'Bake in the preheated oven until a knife inserted into the center comes out clean, 35 to 40 minutes. Let stand for 10 minutes before serving.'];['bake', 'reduce'];['skillet', 'knife', 'pan', 'oven', 'whisk'];8.0;['8', '1 (9-inch) quiche'];{'Calories': '359 kcal', 'Carbohydrates': '17 g', 'Cholesterol': '106 mg', 'Fiber': '1 g', 'Protein': '14 g', 'Saturated Fat': '10 g', 'Sodium': '463 mg', 'Sugar': '3 g', 'Fat': '26 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/18477/quiche-lorraine-ii/
Toshi's Noodles with Seared Sea Scallops;Diana71;27/03/2025;4.9;7.0;10.0;20.0;['Dinner'];['Asian Inspired'];[{'ingredient': 'thin spaghetti', 'quantity': '1', 'unit': '', 'misc': '8 ounce'}, {'ingredient': 'broccoli florets', 'quantity': '1', 'unit': '', 'misc': '8 ounce'}, {'ingredient': 'soy sauce', 'quantity': '3', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'japanese mayonnaise', 'quantity': '3', 'unit': 'tablespoons', 'misc': 'such as kewpie®'}, {'ingredient': 'chili crisp oil sauce', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'gochujang', 'quantity': '2', 'unit': 'teaspoons', 'misc': 'korean hot pepper paste'}, {'ingredient': 'white sugar', 'quantity': '2', 'unit': 'teaspoons', 'misc': ''}, {'ingredient': 'garlic powder', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'ginger', 'quantity': '1', 'unit': 'piece', 'misc': 'minced 1 inch fresh'}, {'ingredient': 'olive oil', 'quantity': '2', 'unit': 'tablespoons', 'misc': ''}, {'ingredient': 'butter', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'onion', 'quantity': '1', 'unit': 'medium', 'misc': 'diced'}, {'ingredient': 'bay scallops', 'quantity': '0.5', 'unit': 'pound', 'misc': 'small'}, {'ingredient': 'onion', 'quantity': '1', 'unit': 'green', 'misc': 'chopped'}];['1 (8 ounce) package thin spaghetti', '1 (8 ounce) package broccoli florets', '3 tablespoons soy sauce', '3 tablespoons Japanese mayonnaise (such as Kewpie®)', '2 tablespoons chili crisp oil sauce', '2 teaspoons gochujang (Korean hot pepper paste)', '2 teaspoons white sugar', '1 teaspoon garlic powder', '1 (1 inch) piece fresh ginger, minced', '2 tablespoons olive oil', '1 tablespoon butter', '1 medium onion, diced', '0.5 pound small bay scallops', '1 green onion, chopped'];['Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 6 minutes. Drain and set aside.', 'Meanwhile, combine broccoli with 2 to 3 tablespoons water in a microwave-safe bowl  cover tightly. Microwave on high until tender, 3 to 4 minutes. Drain any liquid  set aside.', 'Combine soy sauce, mayonnaise, chili crisp, gochujang, sugar, garlic powder, and ginger in a bowl.', 'Heat oil and butter in a wok over medium heat until butter is sizzling but before it turns brown. Add onion  cook for 1 minute. Add scallops  cook and stir until seared, about 3 minutes. Add steamed broccoli  cook 1 to 2 minutes. Pour soy sauce mixture over top, add spaghetti, and toss until combined and heated through, 2 to 3 minutes.', 'Garnish with green onion and serve.'];['boil', 'microwave'];['microwave', 'pot', 'wok'];5.0;4;{'Calories': '503 kcal', 'Carbohydrates': '47 g', 'Cholesterol': '46 mg', 'Fiber': '3 g', 'Protein': '24 g', 'Saturated Fat': '5 g', 'Sodium': '1222 mg', 'Sugar': '6 g', 'Fat': '25 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/279929/toshis-noodles-with-seared-sea-scallops/
Favorite Fisherman's Pie;Ray and Susan;27/03/2025;4.7;3.0;20.0;60.0;['Dinner'];['American'];[{'ingredient': 'potatoes', 'quantity': '2.5', 'unit': 'pounds', 'misc': ''}, {'ingredient': 'leaves', 'quantity': '2', 'unit': 'bay', 'misc': 'divided'}, {'ingredient': 'and black pepper to taste', 'quantity': '', 'unit': 'salt', 'misc': 'ground'}, {'ingredient': 'ounces milk', 'quantity': '28', 'unit': 'fluid', 'misc': 'divided or more if needed'}, {'ingredient': 'butter', 'quantity': '0.5', 'unit': 'cup', 'misc': 'divided'}, {'ingredient': 'olive oil', 'quantity': '1', 'unit': 'tablespoon', 'misc': ''}, {'ingredient': 'skinless haddock', 'quantity': '8', 'unit': 'ounces', 'misc': ''}, {'ingredient': 'skinless salmon', 'quantity': '8', 'unit': 'ounces', 'misc': ''}, {'ingredient': 'skinless smoked fish', 'quantity': '8', 'unit': 'ounces', 'misc': ''}, {'ingredient': 'all-purpose flour', 'quantity': '0.33333334326744', 'unit': 'cup', 'misc': ''}, {'ingredient': 'leek', 'quantity': '1', 'unit': '', 'misc': 'sliced'}, {'ingredient': 'parsley', 'quantity': '2', 'unit': 'tablespoons', 'misc': 'or more to taste chopped fresh'}, {'ingredient': 'scallions', 'quantity': '2', 'unit': '', 'misc': 'chopped'}, {'ingredient': 'spicy mustard', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'shrimp', 'quantity': '8', 'unit': 'ounces', 'misc': 'peeled and deveined cooked'}];['2.5 pounds potatoes', '2 bay leaves, divided', 'salt and ground black pepper to taste', '28 fluid ounces milk, divided, or more if needed', '0.5 cup butter, divided', '1 tablespoon olive oil', '8 ounces skinless haddock', '8 ounces skinless salmon', '8 ounces skinless smoked fish', '0.33333334326744 cup all-purpose flour', '1 leek, sliced', '2 tablespoons chopped fresh parsley, or more to taste', '2 scallions, chopped', '1 teaspoon spicy mustard', '8 ounces cooked shrimp, peeled and deveined'];['Place potatoes into a large pot  add 1 bay leaf, salt, and pepper. Cover potatoes with water  bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain and return potatoes to pot. Mash potatoes with 8 ounces milk and 1/4 cup butter until smooth.', 'Preheat oven to 200 degrees F (95 degrees C). Spread olive oil into the bottom of a 12-inch square baking dish.', 'Combine remaining 20 ounces milk and 1 bay leaf in a large, deep saucepan and bring to a simmer. Cook haddock, salmon, and smoked fish, working in batches if needed, until fish flakes easily with a fork, about 5 minutes. Remove fish from milk and separate into chunks on a work surface. Arrange fish and shrimp in the bottom of the prepared baking dish, reserving milk.', 'Pour the milk used to cook the fish into a measuring cup, adding more if needed to equal 2 1/2 cups.', 'Heat remaining butter in the same large saucepan over low heat  slowly whisk flour into melted butter until smooth. Add the 2 1/2 cups milk, leek, parsley, scallions, and mustard  simmer until thickened, about 5 minutes. Pour milk mixture over fish and shrimp and top with the mashed potatoes, spreading evenly.', 'Bake in the preheated oven until bubbling around the corners and lightly browned, 30 to 45 minutes.'];['bake', 'boil', 'simmer', 'reduce'];['saucepan', 'baking dish', 'pot', 'whisk', 'measuring cup', 'oven'];6.0;['6', '6 servings'];{'Calories': '584 kcal', 'Carbohydrates': '48 g', 'Cholesterol': '186 mg', 'Fiber': '5 g', 'Protein': '40 g', 'Saturated Fat': '13 g', 'Sodium': '371 mg', 'Sugar': '9 g', 'Fat': '26 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/241383/favorite-fishermans-pie/
Tex-Mex Burger with Cajun Mayo;Sarah Stephan;27/03/2025;4.6;467.0;25.0;15.0;['Dinner', 'Lunch'];['Tex Mex', 'Tex-Mex'];[{'ingredient': 'mayonnaise', 'quantity': '0.5', 'unit': 'cup', 'misc': ''}, {'ingredient': 'cajun seasoning', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'beef sirloin', 'quantity': '1.3333333730698', 'unit': 'pounds', 'misc': 'ground'}, {'ingredient': 'white onion', 'quantity': '0.5', 'unit': 'cup', 'misc': 'diced'}, {'ingredient': 'pepper', 'quantity': '1', 'unit': 'jalapeno', 'misc': 'seeded and chopped'}, {'ingredient': 'garlic', 'quantity': '1', 'unit': 'clove', 'misc': 'minced'}, {'ingredient': 'worcestershire sauce', 'quantity': '1', 'unit': 'teaspoon', 'misc': ''}, {'ingredient': 'pepperjack cheese', 'quantity': '4', 'unit': 'slices', 'misc': ''}, {'ingredient': 'buns', 'quantity': '4', 'unit': 'hamburger', 'misc': 'split'}, {'ingredient': 'lettuce', 'quantity': '4', 'unit': 'leaves', 'misc': ''}, {'ingredient': 'tomato', 'quantity': '4', 'unit': 'slices', 'misc': ''}];['0.5 cup mayonnaise', '1 teaspoon Cajun seasoning', '1.3333333730698 pounds ground beef sirloin', '0.5 cup diced white onion', '1 jalapeno pepper, seeded and chopped', '1 clove garlic, minced', '1 teaspoon Worcestershire sauce', '4 slices pepperjack cheese', '4 hamburger buns, split', '4 leaves lettuce', '4 slices tomato'];['Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'Combine mayonnaise and 1 teaspoon Cajun seasoning in a small bowl  set aside.', 'Combine ground sirloin, onion, remaining 3 teaspoons Cajun seasoning, jalapeño, garlic, and Worcestershire sauce in a large bowl. Divide into 4 balls  flatten into patties.', 'Cook on the preheated grill until burgers are no longer pink in centers, about 5 minutes per side, topping each burger with 1 cheese slice, during the last 2 minutes. An instant-read thermometer inserted into centers should read at least 160 degrees F (70 degrees C).', 'Spread mayo on buns, add burgers, lettuce, and tomatoes.'];['grill'];['grill', 'thermometer'];5.0;4;{'Calories': '714 kcal', 'Carbohydrates': '29 g', 'Cholesterol': '132 mg', 'Fiber': '2 g', 'Protein': '38 g', 'Saturated Fat': '15 g', 'Sodium': '1140 mg', 'Sugar': '2 g', 'Fat': '49 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/75290/tex-mex-burger-with-cajun-mayo/
KK's Italian Meatball Soup;Tellico Cook;27/03/2025;4.7;6.0;20.0;25.0;['Soup'];['Italian Inspired', 'American'];[{'ingredient': 'olive oil', 'quantity': '2', 'unit': 'tablespoons', 'misc': 'or as needed'}, {'ingredient': 'onion', 'quantity': '1', 'unit': 'cup', 'misc': 'chopped'}, {'ingredient': 'carrots', 'quantity': '2', 'unit': '', 'misc': 'chopped'}, {'ingredient': 'celery', 'quantity': '1', 'unit': 'stalk', 'misc': 'chopped'}, {'ingredient': 'garlic', 'quantity': '4', 'unit': 'cloves', 'misc': 'chopped'}, {'ingredient': 'chicken broth', 'quantity': '5.25', 'unit': 'cups', 'misc': ''}, {'ingredient': 'water', 'quantity': '2.5', 'unit': 'cups', 'misc': ''}, {'ingredient': 'white beans', 'quantity': '2', 'unit': '', 'misc': 'drained and rinsed 14 ounce'}, {'ingredient': 'meatballs', 'quantity': '20', 'unit': 'frozen', 'misc': 'cooked small'}, {'ingredient': 'baby spinach', 'quantity': '1', 'unit': 'bag', 'misc': 'coarsely chopped 5 ounce'}, {'ingredient': 'asiago cheese', 'quantity': '0.5', 'unit': 'cup', 'misc': 'finely grated'}, {'ingredient': 'and black pepper to taste', 'quantity': '', 'unit': 'salt', 'misc': 'ground'}];['2 tablespoons olive oil, or as needed', '1 cup chopped onion', '2 carrots, chopped', '1 stalk celery, chopped', '4 cloves garlic, chopped', '5.25 cups chicken broth', '2.5 cups water', '2 (14 ounce) cans white beans, drained and rinsed', '20 frozen cooked small meatballs', '1 (5 ounce) bag baby spinach, coarsely chopped', '0.5 cup finely grated Asiago cheese', 'salt and ground black pepper to taste'];['Heat oil in a large pot over high heat. Saute onion, carrots, celery, and garlic until onion is pale golden, about 4 minutes. Pour broth and water into pot  cover the pot and bring mixture to a boil.', 'Stir beans and meatballs into broth mixture  bring to a boil, reduce heat to medium-low, cover the pot, and simmer, stirring occasionally, until vegetables are tender and meatballs are heated through, about 20 minutes.', 'Mix spinach, Asiago cheese, salt, and pepper into soup  simmer until spinach wilts, about 1 minute.'];['boil', 'simmer', 'reduce'];['pot'];3.0;['8', '8 servings'];{'Calories': '338 kcal', 'Carbohydrates': '30 g', 'Cholesterol': '64 mg', 'Fiber': '6 g', 'Protein': '22 g', 'Saturated Fat': '5 g', 'Sodium': '205 mg', 'Sugar': '2 g', 'Fat': '15 g', 'Unsaturated Fat': '0 g'};https://www.allrecipes.com/recipe/236621/kks-italian-meatball-soup/
